min_samples_leaf,max_features,accuracy_mean,accuracy_min,macro_f1_mean,balanced_accuracy_mean,normal_recall_mean,max_features_order,feature_family
2,0.75,0.885714285714286,0.871428571428571,0.840691227012888,0.908412698412698,1,3,multiband_title_bsf
2,1.0,0.894285714285714,0.885714285714286,0.849055745204674,0.915952380952381,1,4,multiband_title_bsf
2,sqrt,0.905714285714286,0.885714285714286,0.875859134276136,0.927619047619048,1,0,multiband_title_bsf
3,0.25,0.888571428571429,0.885714285714286,0.854031824522422,0.910634920634921,1,1,multiband_title_bsf
3,0.5,0.885714285714286,0.871428571428571,0.845503532841548,0.907857142857143,1,2,multiband_title_bsf
3,0.75,0.885714285714286,0.871428571428571,0.845527115154176,0.907857142857143,1,3,multiband_title_bsf
3,1.0,0.882857142857143,0.871428571428571,0.832114776718618,0.906428571428571,1,4,multiband_title_bsf
3,sqrt,0.885714285714286,0.871428571428571,0.851069020174637,0.909206349206349,1,0,multiband_title_bsf
1,0.25,0.925714285714286,0.9,0.938448956239662,0.936269841269841,1,1,multiband_spin_half
1,0.5,0.908571428571429,0.871428571428571,0.924148948844388,0.919603174603175,1,2,multiband_spin_half
1,0.75,0.914285714285714,0.9,0.926898587832689,0.92515873015873,1,3,multiband_spin_half
1,1.0,0.897142857142857,0.885714285714286,0.894931966229907,0.909285714285714,1,4,multiband_spin_half
1,sqrt,0.928571428571428,0.914285714285714,0.94102358315817,0.937698412698413,1,0,multiband_spin_half
2,0.25,0.911428571428571,0.9,0.882891614575719,0.93452380952381,1,1,multiband_spin_half
2,0.5,0.908571428571429,0.885714285714286,0.868215529573347,0.929047619047619,1,2,multiband_spin_half
2,0.75,0.902857142857143,0.857142857142857,0.866061583214886,0.921031746031746,1,3,multiband_spin_half
2,1.0,0.888571428571429,0.857142857142857,0.839611129143558,0.907936507936508,1,4,multiband_spin_half
2,sqrt,0.914285714285714,0.9,0.880465722258719,0.937301587301587,1,0,multiband_spin_half
3,0.25,0.9,0.885714285714286,0.871304412440798,0.922539682539683,1,1,multiband_spin_half
3,0.5,0.888571428571429,0.871428571428571,0.854895568194779,0.911428571428571,1,2,multiband_spin_half
3,0.75,0.888571428571429,0.871428571428571,0.856290393539673,0.911984126984127,1,3,multiband_spin_half
3,1.0,0.882857142857143,0.857142857142857,0.837613170419725,0.909126984126984,1,4,multiband_spin_half
3,sqrt,0.9,0.885714285714286,0.865800732301994,0.922539682539683,1,0,multiband_spin_half
1,0.25,0.922857142857143,0.9,0.932753048203606,0.933492063492064,1,1,multiband_both
1,0.5,0.911428571428571,0.885714285714286,0.921779609725235,0.923730158730159,1,2,multiband_both
1,0.75,0.917142857142857,0.885714285714286,0.92917332252703,0.929285714285714,1,3,multiband_both
1,1.0,0.902857142857143,0.885714285714286,0.88449503938325,0.893174603174603,0.9,4,multiband_both
1,sqrt,0.922857142857143,0.9,0.934162088459495,0.936190476190476,1,0,multiband_both
2,0.25,0.902857142857143,0.871428571428571,0.867756596807094,0.92484126984127,1,1,multiband_both
2,0.5,0.897142857142857,0.871428571428571,0.847420217500127,0.920634920634921,1,2,multiband_both
2,0.75,0.891428571428571,0.871428571428571,0.84178509070577,0.91452380952381,1,3,multiband_both
2,1.0,0.891428571428571,0.871428571428571,0.833452665621983,0.91452380952381,1,4,multiband_both
2,sqrt,0.902857142857143,0.885714285714286,0.867965360964406,0.926190476190476,1,0,multiband_both
3,0.25,0.885714285714286,0.871428571428571,0.851421473816343,0.909206349206349,1,1,multiband_both
3,0.5,0.882857142857143,0.871428571428571,0.839271860927941,0.906428571428571,1,2,multiband_both
3,0.75,0.882857142857143,0.871428571428571,0.839271860927941,0.906428571428571,1,3,multiband_both
3,1.0,0.882857142857143,0.871428571428571,0.839271860927941,0.906428571428571,1,4,multiband_both
3,sqrt,0.885714285714286,0.871428571428571,0.86028218475382,0.909206349206349,1,0,multiband_both
