min_samples_leaf,max_features,cv_seed,folds,accuracy,macro_f1,balanced_accuracy,normal_recall,n_files,feature_family
3,0.5,42,2,0.885714285714286,0.850830727001597,0.900793650793651,1,70,multiband_title_bsf
3,0.5,71,2,0.885714285714286,0.830781287677839,0.91031746031746,1,70,multiband_title_bsf
3,0.5,97,2,0.9,0.871486415882968,0.924206349206349,1,70,multiband_title_bsf
3,0.75,11,2,0.885714285714286,0.832674197072713,0.91031746031746,1,70,multiband_title_bsf
3,0.75,29,2,0.871428571428571,0.83997668997669,0.893650793650794,1,70,multiband_title_bsf
3,0.75,42,2,0.885714285714286,0.85271698516067,0.900793650793651,1,70,multiband_title_bsf
3,0.75,71,2,0.885714285714286,0.830781287677839,0.91031746031746,1,70,multiband_title_bsf
3,0.75,97,2,0.9,0.871486415882968,0.924206349206349,1,70,multiband_title_bsf
3,1.0,11,2,0.885714285714286,0.832674197072713,0.91031746031746,1,70,multiband_title_bsf
3,1.0,29,2,0.871428571428571,0.83997668997669,0.893650793650794,1,70,multiband_title_bsf
3,1.0,42,2,0.871428571428571,0.813539908367495,0.893650793650794,1,70,multiband_title_bsf
3,1.0,71,2,0.885714285714286,0.830781287677839,0.91031746031746,1,70,multiband_title_bsf
3,1.0,97,2,0.9,0.843601800498352,0.924206349206349,1,70,multiband_title_bsf
1,sqrt,11,2,0.914285714285714,0.932107009875344,0.927380952380952,1,70,multiband_spin_half
1,sqrt,29,2,0.914285714285714,0.923852657004831,0.921825396825397,1,70,multiband_spin_half
1,sqrt,42,2,0.914285714285714,0.928300798945721,0.921825396825397,1,70,multiband_spin_half
1,sqrt,71,2,0.942857142857143,0.956061850027367,0.948412698412698,1,70,multiband_spin_half
1,sqrt,97,2,0.957142857142857,0.964795599937588,0.969047619047619,1,70,multiband_spin_half
1,0.25,11,2,0.9,0.920545977011494,0.913492063492063,1,70,multiband_spin_half
1,0.25,29,2,0.914285714285714,0.923852657004831,0.921825396825397,1,70,multiband_spin_half
1,0.25,42,2,0.914285714285714,0.928300798945721,0.921825396825397,1,70,multiband_spin_half
1,0.25,71,2,0.942857142857143,0.952193497845672,0.95515873015873,1,70,multiband_spin_half
1,0.25,97,2,0.957142857142857,0.967351850390594,0.969047619047619,1,70,multiband_spin_half
1,0.5,11,2,0.885714285714286,0.903676470588235,0.899603174603175,1,70,multiband_spin_half
1,0.5,29,2,0.871428571428571,0.890578078078078,0.88015873015873,1,70,multiband_spin_half
1,0.5,42,2,0.914285714285714,0.928300798945721,0.921825396825397,1,70,multiband_spin_half
1,0.5,71,2,0.942857142857143,0.952193497845672,0.95515873015873,1,70,multiband_spin_half
1,0.5,97,2,0.928571428571429,0.945995898764233,0.941269841269841,1,70,multiband_spin_half
1,0.75,11,2,0.914285714285714,0.927380952380952,0.927380952380952,1,70,multiband_spin_half
1,0.75,29,2,0.9,0.913064713064713,0.907936507936508,1,70,multiband_spin_half
1,0.75,42,2,0.914285714285714,0.925885225885226,0.921825396825397,1,70,multiband_spin_half
1,0.75,71,2,0.914285714285714,0.922166149068323,0.927380952380952,1,70,multiband_spin_half
1,0.75,97,2,0.928571428571429,0.945995898764233,0.941269841269841,1,70,multiband_spin_half
1,1.0,11,2,0.885714285714286,0.901942815249267,0.899603174603175,1,70,multiband_spin_half
1,1.0,29,2,0.885714285714286,0.901985009472037,0.894047619047619,1,70,multiband_spin_half
1,1.0,42,2,0.9,0.872054998141955,0.91468253968254,1,70,multiband_spin_half
1,1.0,71,2,0.914285714285714,0.925806451612903,0.927380952380952,1,70,multiband_spin_half
1,1.0,97,2,0.9,0.872870556673374,0.910714285714286,1,70,multiband_spin_half
2,sqrt,11,2,0.914285714285714,0.8630734711199,0.940873015873016,1,70,multiband_spin_half
2,sqrt,29,2,0.9,0.871356421356421,0.921428571428571,1,70,multiband_spin_half
2,sqrt,42,2,0.914285714285714,0.880540387493427,0.928571428571429,1,70,multiband_spin_half
2,sqrt,71,2,0.914285714285714,0.886130536130536,0.940873015873016,1,70,multiband_spin_half
2,sqrt,97,2,0.928571428571429,0.901227795193312,0.954761904761905,1,70,multiband_spin_half
2,0.25,11,2,0.9,0.875202932704897,0.926984126984127,1,70,multiband_spin_half
2,0.25,29,2,0.9,0.871356421356421,0.921428571428571,1,70,multiband_spin_half
2,0.25,42,2,0.914285714285714,0.880540387493427,0.928571428571429,1,70,multiband_spin_half
2,0.25,71,2,0.914285714285714,0.886130536130536,0.940873015873016,1,70,multiband_spin_half
2,0.25,97,2,0.928571428571429,0.901227795193312,0.954761904761905,1,70,multiband_spin_half
2,0.5,11,2,0.885714285714286,0.859852437897695,0.913095238095238,1,70,multiband_spin_half
2,0.5,29,2,0.9,0.840194859038143,0.91468253968254,1,70,multiband_spin_half
2,0.5,42,2,0.914285714285714,0.882516339869281,0.928571428571429,1,70,multiband_spin_half
2,0.5,71,2,0.9,0.847559499798306,0.926984126984127,1,70,multiband_spin_half
2,0.5,97,2,0.942857142857143,0.910954511263312,0.961904761904762,1,70,multiband_spin_half
2,0.75,11,2,0.857142857142857,0.785311537550344,0.882539682539683,1,70,multiband_spin_half
2,0.75,29,2,0.928571428571429,0.934381476167703,0.935714285714286,1,70,multiband_spin_half
2,0.75,42,2,0.914285714285714,0.882516339869281,0.928571428571429,1,70,multiband_spin_half
2,0.75,71,2,0.885714285714286,0.832149735194993,0.913095238095238,1,70,multiband_spin_half
2,0.75,97,2,0.928571428571429,0.895948827292111,0.945238095238095,1,70,multiband_spin_half
2,1.0,11,2,0.857142857142857,0.785311537550344,0.882539682539683,1,70,multiband_spin_half
2,1.0,29,2,0.9,0.866480862133036,0.907936507936508,1,70,multiband_spin_half
2,1.0,42,2,0.9,0.872054998141955,0.91468253968254,1,70,multiband_spin_half
2,1.0,71,2,0.871428571428571,0.81555023923445,0.896428571428571,1,70,multiband_spin_half
2,1.0,97,2,0.914285714285714,0.858658008658009,0.938095238095238,1,70,multiband_spin_half
3,sqrt,11,2,0.885714285714286,0.828300865800866,0.907539682539683,1,70,multiband_spin_half
3,sqrt,29,2,0.9,0.871356421356421,0.921428571428571,1,70,multiband_spin_half
3,sqrt,42,2,0.9,0.871356421356421,0.921428571428571,1,70,multiband_spin_half
3,sqrt,71,2,0.9,0.871486415882968,0.924206349206349,1,70,multiband_spin_half
3,sqrt,97,2,0.914285714285714,0.886503537113293,0.938095238095238,1,70,multiband_spin_half
3,0.25,11,2,0.9,0.871486415882968,0.924206349206349,1,70,multiband_spin_half
3,0.25,29,2,0.9,0.871356421356421,0.921428571428571,1,70,multiband_spin_half
3,0.25,42,2,0.885714285714286,0.855689271968342,0.904761904761905,1,70,multiband_spin_half
3,0.25,71,2,0.9,0.871486415882968,0.924206349206349,1,70,multiband_spin_half
3,0.25,97,2,0.914285714285714,0.886503537113293,0.938095238095238,1,70,multiband_spin_half
3,0.5,11,2,0.871428571428571,0.845378371301388,0.896428571428571,1,70,multiband_spin_half
3,0.5,29,2,0.9,0.871356421356421,0.921428571428571,1,70,multiband_spin_half
3,0.5,42,2,0.885714285714286,0.855689271968342,0.904761904761905,1,70,multiband_spin_half
3,0.5,71,2,0.871428571428571,0.81555023923445,0.896428571428571,1,70,multiband_spin_half
3,0.5,97,2,0.914285714285714,0.886503537113293,0.938095238095238,1,70,multiband_spin_half
3,0.75,11,2,0.871428571428571,0.845378371301388,0.896428571428571,1,70,multiband_spin_half
3,0.75,29,2,0.9,0.871356421356421,0.921428571428571,1,70,multiband_spin_half
3,0.75,42,2,0.885714285714286,0.862663398692811,0.907539682539683,1,70,multiband_spin_half
3,0.75,71,2,0.871428571428571,0.81555023923445,0.896428571428571,1,70,multiband_spin_half
3,0.75,97,2,0.914285714285714,0.886503537113293,0.938095238095238,1,70,multiband_spin_half
3,1.0,11,2,0.871428571428571,0.817379319618126,0.896428571428571,1,70,multiband_spin_half
3,1.0,29,2,0.9,0.871356421356421,0.921428571428571,1,70,multiband_spin_half
3,1.0,42,2,0.857142857142857,0.797276334776335,0.893253968253968,1,70,multiband_spin_half
3,1.0,71,2,0.871428571428571,0.81555023923445,0.896428571428571,1,70,multiband_spin_half
3,1.0,97,2,0.914285714285714,0.886503537113293,0.938095238095238,1,70,multiband_spin_half
1,sqrt,11,2,0.928571428571429,0.94330981227533,0.941269841269841,1,70,multiband_both
1,sqrt,29,2,0.914285714285714,0.919432773109244,0.921825396825397,1,70,multiband_both
1,sqrt,42,2,0.9,0.914118490205447,0.91468253968254,1,70,multiband_both
1,sqrt,71,2,0.914285714285714,0.929153766769866,0.934126984126984,1,70,multiband_both
