model,fold,C,gamma,features,fit_files,hold_files,fit_seconds,accuracy,macro_f1,balanced_accuracy,normal_recall,n_files,representation,stage
rbf_file_class_balanced,1,1,0.5,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00140116701368243,0.794117647058823,0.748617395676219,0.820961718020542,1,34,one_second,train70
rbf_file_class_balanced,0,1,2,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00132629205472767,0.638888888888889,0.698484848484848,0.71875,1,36,one_second,train70
rbf_file_class_balanced,1,1,2,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00148208404425532,0.764705882352941,0.78514081027668,0.798319327731092,1,34,one_second,train70
rbf_file_class_balanced,0,4,0.03125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00117770803626627,0.583333333333333,0.47979797979798,0.618055555555556,1,36,one_second,train70
rbf_file_class_balanced,1,4,0.03125,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00144716596696526,0.617647058823529,0.520833333333333,0.664565826330532,1,34,one_second,train70
rbf_file_class_balanced,0,4,0.125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00123445794451982,0.638888888888889,0.582181259600615,0.725694444444444,1,36,one_second,train70
rbf_file_class_balanced,1,4,0.125,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.00139208300970495,0.735294117647059,0.626336898395722,0.757469654528478,1,34,one_second,train70
rbf_file_class_balanced,0,4,0.5,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00127474998589605,0.583333333333333,0.548913043478261,0.690972222222222,1,36,one_second,train70
rbf_file_class_balanced,1,4,0.5,env_spread_order|env_centroid_order|env_entropy|skewness|env_peak_order|env_low_order_ratio|peak_to_peak,36,34,0.0014746249653399,0.794117647058823,0.748617395676219,0.820961718020542,1,34,one_second,train70
rbf_file_class_balanced,0,4,2,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|env_harmonic_ratio,34,36,0.00139945803675801,0.638888888888889,0.698484848484848,0.71875,1,36,one_second,train70
