model,fold,C,gamma,features,fit_files,hold_files,fit_seconds,accuracy,macro_f1,balanced_accuracy,normal_recall,n_files,representation,stage
rbf_class_balanced,0,1,0.03125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00155708403326571,0.583333333333333,0.527929197994987,0.641716073781291,1,48,one_second,development93
rbf_class_balanced,1,1,0.03125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00212754099629819,0.6,0.507478632478633,0.670454545454545,1,45,one_second,development93
rbf_class_balanced,0,1,0.125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.001572833978571,0.708333333333333,0.653859649122807,0.772397891963109,1,48,one_second,development93
rbf_class_balanced,1,1,0.125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00214258395135403,0.622222222222222,0.561363102232667,0.704545454545454,1,45,one_second,development93
rbf_class_balanced,0,1,0.5,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00161354197189212,0.875,0.839882565492322,0.92481884057971,1,48,one_second,development93
rbf_class_balanced,1,1,0.5,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00222266605123878,0.822222222222222,0.767857142857143,0.852272727272727,1,45,one_second,development93
rbf_class_balanced,0,1,2,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00177475006785244,0.875,0.905454042081949,0.912961133069829,1,48,one_second,development93
rbf_class_balanced,1,1,2,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00223316589836031,0.8,0.82860310421286,0.840909090909091,1,45,one_second,development93
rbf_class_balanced,0,4,0.03125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00156116706784815,0.583333333333333,0.527929197994987,0.641716073781291,1,48,one_second,development93
rbf_class_balanced,1,4,0.03125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.0021235829917714,0.6,0.498202614379085,0.659090909090909,1,45,one_second,development93
rbf_class_balanced,0,4,0.125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00158633291721344,0.708333333333333,0.653859649122807,0.772397891963109,1,48,one_second,development93
rbf_class_balanced,1,4,0.125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.0022072090068832,0.622222222222222,0.561363102232667,0.704545454545454,1,45,one_second,development93
rbf_class_balanced,0,4,0.5,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00170983304269612,0.875,0.839882565492322,0.92481884057971,1,48,one_second,development93
rbf_class_balanced,1,4,0.5,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00226820900570601,0.822222222222222,0.767857142857143,0.852272727272727,1,45,one_second,development93
rbf_class_balanced,0,4,2,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00186275003943592,0.875,0.905454042081949,0.912961133069829,1,48,one_second,development93
rbf_class_balanced,1,4,2,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00244891608599573,0.8,0.82860310421286,0.840909090909091,1,45,one_second,development93
rbf_class_balanced,0,16,0.03125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00157900003250688,0.583333333333333,0.527929197994987,0.641716073781291,1,48,one_second,development93
rbf_class_balanced,1,16,0.03125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00218874996062368,0.6,0.498202614379085,0.659090909090909,1,45,one_second,development93
rbf_class_balanced,0,16,0.125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00161625002510846,0.729166666666667,0.674512329775488,0.793231225296443,1,48,one_second,development93
rbf_class_balanced,1,16,0.125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00226745801046491,0.622222222222222,0.561363102232667,0.704545454545454,1,45,one_second,development93
rbf_class_balanced,0,16,0.5,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00179650005884469,0.875,0.865940766550523,0.92481884057971,1,48,one_second,development93
rbf_class_balanced,1,16,0.5,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00235816696658731,0.822222222222222,0.767857142857143,0.852272727272727,1,45,one_second,development93
rbf_class_balanced,0,16,2,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00210791698191315,0.875,0.905454042081949,0.912961133069829,1,48,one_second,development93
rbf_class_balanced,1,16,2,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00262024998664856,0.8,0.82860310421286,0.840909090909091,1,45,one_second,development93
rbf_class_balanced,0,64,0.03125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.0016510410932824,0.729166666666667,0.674512329775488,0.793231225296443,1,48,one_second,development93
rbf_class_balanced,1,64,0.03125,env_centroid_order|skewness|env_spread_order|env_entropy|peak_to_peak|env_harmonic_ratio|env_peak_order|kurtosis_pearson,48,45,0.00214858306571841,0.644444444444444,0.566194331983806,0.704545454545455,1,45,one_second,development93
rbf_class_balanced,0,64,0.125,env_entropy|env_spread_order|env_centroid_order|skewness|peak_to_peak|crest_factor|env_low_order_ratio|env_harmonic_ratio,45,48,0.00146116700489074,0.854166666666667,0.848809523809524,0.902091567852437,1,48,one_second,development93
