C,gamma,macro_f1,balanced_accuracy,normal_recall,fit_seconds,model,representation,stage
1,0.5,0.782304547173379,0.877182147562582,1,0.00388491689227521,rbf_file_class_balanced,one_second,development93
1,2,0.852164502164502,0.882616930171278,1,0.00406150007620454,rbf_file_class_balanced,one_second,development93
4,0.03125,0.497529159437054,0.640233860342556,1,0.00380754203069955,rbf_file_class_balanced,one_second,development93
4,0.125,0.58358508272082,0.716691370223979,1,0.00384991709142923,rbf_file_class_balanced,one_second,development93
4,0.5,0.782304547173379,0.877182147562582,1,0.00392091693356633,rbf_file_class_balanced,one_second,development93
4,2,0.851785714285714,0.882616930171278,1,0.00433783407788724,rbf_file_class_balanced,one_second,development93
16,0.03125,0.497529159437054,0.640233860342556,1,0.00369966705329716,rbf_file_class_balanced,one_second,development93
16,0.125,0.613065181188332,0.739418642951252,1,0.00378649996127933,rbf_file_class_balanced,one_second,development93
16,0.5,0.787002349371181,0.877182147562582,1,0.00405179196968675,rbf_file_class_balanced,one_second,development93
16,2,0.851785714285714,0.882616930171278,1,0.00461800105404109,rbf_file_class_balanced,one_second,development93
64,0.03125,0.609053831159094,0.739665678524374,1,0.00359550002031028,rbf_file_class_balanced,one_second,development93
64,0.125,0.769106453135491,0.838397562582345,1,0.00356737594120204,rbf_file_class_balanced,one_second,development93
64,0.5,0.85371201006952,0.882863965744401,1,0.00385312596336007,rbf_file_class_balanced,one_second,development93
64,2,0.898681127321168,0.899662384716733,1,0.00515362492296845,rbf_file_class_balanced,one_second,development93
256,0.03125,0.722012344151932,0.79981884057971,1,0.00339375005569309,rbf_file_class_balanced,one_second,development93
256,0.125,0.864382646947106,0.900156455862978,1,0.00293950003106147,rbf_file_class_balanced,one_second,development93
256,0.5,0.909158479703238,0.91600790513834,1,0.00335433299187571,rbf_file_class_balanced,one_second,development93
256,2,0.841440905558441,0.83691534914361,1,0.00512704299762845,rbf_file_class_balanced,one_second,development93
1024,0.03125,0.826107338912217,0.878417325428195,1,0.00302850001025945,rbf_file_class_balanced,one_second,development93
1024,0.125,0.895710286698659,0.905591238471673,1,0.00267745787277818,rbf_file_class_balanced,one_second,development93
1024,0.5,0.921671035049851,0.916913702239789,1,0.00324170908425003,rbf_file_class_balanced,one_second,development93
1024,2,0.798064586202374,0.768486495388669,0.75,0.00538395810872316,rbf_file_class_balanced,one_second,development93
1,0,0.38448137176011,0.550024703557312,1,0.00332708284258842,linear_file_class_balanced,one_second,development93
4,0,0.476932966862634,0.604948945981555,1,0.00319400010630488,linear_file_class_balanced,one_second,development93
16,0,0.607941074980717,0.708662714097497,1,0.00319870794191957,linear_file_class_balanced,one_second,development93
64,0,0.709133976403713,0.760046113306983,1,0.00324250105768442,linear_file_class_balanced,one_second,development93
256,0,0.758505573189636,0.771656785243742,1,0.00355949997901917,linear_file_class_balanced,one_second,development93
1024,0,0.765855964979387,0.777091567852437,1,0.00534662499558181,linear_file_class_balanced,one_second,development93
